Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,86.400002,86.699997,84.0,84.0,73.971909,6343179
2021-01-05,83.699997,91.599998,83.699997,89.400002,78.727249,23097625
2021-01-06,91.199997,91.199997,83.800003,85.199997,75.028656,11652433
2021-01-07,86.699997,87.800003,84.400002,86.199997,75.909264,5618707
2021-01-08,87.0,89.300003,86.400002,88.199997,77.670509,10072260
2021-01-11,88.599998,89.900002,86.800003,87.0,76.613762,6523650
2021-01-12,86.900002,87.099998,83.599998,85.0,74.852531,4625539
2021-01-13,85.5,87.900002,84.300003,87.0,76.613762,7557089
2021-01-14,89.0,90.0,87.199997,90.0,79.255615,10703088
2021-01-15,91.599998,92.0,87.0,87.099998,76.701828,10213876
2021-01-18,86.599998,87.099998,84.800003,86.199997,75.909264,2529791
2021-01-19,87.199997,88.699997,86.0,86.099998,75.821205,3652526
2021-01-20,86.699997,86.699997,81.0,81.699997,71.946487,5428724
2021-01-21,82.400002,83.400002,79.099998,81.5,71.77037,3289511
2021-01-22,81.0,82.5,80.699997,81.599998,71.858429,2041865
2021-01-25,82.5,85.900002,81.800003,84.0,73.971909,5662353
2021-01-26,84.199997,85.0,81.599998,81.699997,71.946487,2524085
2021-01-27,82.400002,82.900002,80.5,82.5,72.650986,1870774
2021-01-28,81.0,82.0,80.5,80.699997,71.065872,1178020
2021-01-29,81.5,81.900002,78.199997,78.199997,68.864326,1965697
2021-02-01,78.300003,78.900002,75.599998,77.5,68.247894,1316254
2021-02-02,78.099998,79.300003,78.099998,78.800003,69.3927,1011562
2021-02-03,79.599998,80.5,78.5,78.699997,69.304634,1030153
2021-02-04,79.5,80.5,78.800003,78.800003,69.3927,1221027
2021-02-05,79.199997,79.800003,78.599998,78.599998,69.216576,986106
2021-02-17,81.300003,84.5,81.300003,83.800003,73.795792,4898265
2021-02-18,84.0,84.599998,82.900002,84.400002,74.324158,2527806
2021-02-19,84.400002,86.0,83.5,85.599998,75.380905,2418357
2021-02-22,86.300003,89.5,86.099998,86.400002,76.085396,6824011
2021-02-23,87.099998,89.5,86.599998,87.800003,77.318268,6530236
2021-02-24,87.400002,88.199997,85.599998,85.900002,75.645088,2592919
2021-02-25,87.599998,88.0,85.599998,86.099998,75.821205,1945493
2021-02-26,84.0,85.599998,84.0,85.0,74.852531,1687800
2021-03-02,87.0,87.099998,84.300003,84.5,74.412224,1502384
2021-03-03,84.800003,86.800003,82.5,85.800003,75.557022,2332532
2021-03-04,85.800003,86.0,83.400002,83.800003,73.795792,1467132
2021-03-05,82.599998,83.800003,82.300003,82.599998,72.739052,912738
2021-03-08,83.599998,83.599998,80.099998,80.5,70.889748,1935848
2021-03-09,80.5,81.400002,78.900002,80.400002,70.801689,1693339
2021-03-10,81.199997,81.199997,79.5,79.800003,70.273315,1349500
2021-03-11,81.900002,84.5,81.599998,82.5,72.650986,3383532
2021-03-12,82.900002,83.5,81.699997,82.0,72.210678,1400034
2021-03-15,82.0,82.800003,81.5,82.699997,72.82711,818753
2021-03-16,83.5,84.800003,82.900002,83.0,73.091293,1946264
2021-03-17,83.0,83.199997,81.699997,81.900002,72.12262,987988
2021-03-18,81.900002,82.400002,80.5,80.800003,71.153938,2421909
2021-03-19,80.0,80.900002,79.900002,80.199997,70.625557,1043671
2021-03-22,80.5,81.599998,79.5,81.0,71.330055,900873
2021-03-23,81.599998,81.800003,80.0,80.099998,70.537498,764762
2021-03-24,79.800003,80.900002,79.800003,80.199997,70.625557,536500
2021-03-25,80.199997,80.699997,79.599998,79.800003,70.273315,646812
2021-03-26,80.099998,80.599998,80.0,80.300003,70.713623,951620
2021-03-29,80.5,80.800003,79.900002,80.300003,70.713623,738750
