Date,Open,Close,Volume,Date,SMA5,SMA20,SMA_signal,strat_return,benchmark
2018-01-02,231.5,232.5,18055269,2018-01-02,,,0,0.0,
2018-01-03,236.0,237.0,29308091,2018-01-03,,,0,0.0,0.019354838709677358
2018-01-04,240.0,239.5,29096613,2018-01-04,,,0,0.0,0.010548523206751037
2018-01-05,240.0,240.0,22438255,2018-01-05,,,0,0.0,0.0020876826722338038
2018-01-08,242.0,242.0,20233692,2018-01-08,238.2,,0,0.0,0.008333333333333304
2018-01-09,242.0,242.0,19043123,2018-01-09,240.1,,0,0.0,0.0
2018-01-10,241.5,236.5,23631220,2018-01-10,240.0,,0,0.0,-0.022727272727272707
2018-01-11,235.0,235.0,30446338,2018-01-11,239.1,,0,0.0,-0.006342494714587699
2018-01-12,234.5,237.0,21513291,2018-01-12,238.5,,0,0.0,0.008510638297872353
2018-01-15,240.0,240.0,27476533,2018-01-15,238.1,,0,0.0,0.012658227848101333
2018-01-16,240.0,240.5,21691632,2018-01-16,237.8,,0,0.0,0.002083333333333437
2018-01-17,240.5,242.0,38046119,2018-01-17,238.9,,0,0.0,0.006237006237006293
2018-01-18,245.0,248.5,49896952,2018-01-18,241.6,,0,0.0,0.026859504132231482
2018-01-19,253.5,255.5,50549292,2018-01-19,245.3,,0,0.0,0.028169014084507005
2018-01-22,257.5,261.5,43400509,2018-01-22,249.6,,0,0.0,0.023483365949119372
2018-01-23,262.5,266.0,33527444,2018-01-23,254.7,,0,0.0,0.017208413001912115
2018-01-24,263.0,258.0,41874813,2018-01-24,257.9,,0,0.0,-0.03007518796992481
2018-01-25,258.0,258.0,44643756,2018-01-25,259.8,,0,0.0,0.0
2018-01-26,256.5,255.0,39555523,2018-01-26,259.7,,0,0.0,-0.011627906976744207
2018-01-29,259.0,258.5,30071234,2018-01-29,259.1,246.25,1,0.013725490196078383,0.013725490196078383
2018-01-30,256.0,253.0,36860591,2018-01-30,256.5,247.275,1,-0.021276595744680882,-0.021276595744680882
2018-01-31,253.0,255.0,44136808,2018-01-31,255.9,248.175,1,0.007905138339920903,0.007905138339920903
2018-02-01,257.5,259.5,30559457,2018-02-01,256.2,249.175,1,0.01764705882352935,0.01764705882352935
2018-02-02,259.0,259.5,25707560,2018-02-02,257.1,250.15,1,0.0,0.0
