startTime,time,open,high,low,close,volume
2020-01-01T00:00:00+00:00,1577836800000.0,2480.25,2563.25,2479.0,2557.5,0.0
2020-01-01T01:00:00+00:00,1577840400000.0,2557.5,2568.5,2534.25,2547.0,0.0
2020-01-01T02:00:00+00:00,1577844000000.0,2547.0,2547.0,2513.0,2532.5,0.0
2020-01-01T03:00:00+00:00,1577847600000.0,2532.5,2542.0,2526.25,2540.5,0.0
2020-01-01T04:00:00+00:00,1577851200000.0,2540.5,2552.0,2518.5,2527.0,0.0
2020-01-01T05:00:00+00:00,1577854800000.0,2527.0,2527.25,2509.0,2510.25,0.0
2020-01-01T06:00:00+00:00,1577858400000.0,2510.25,2512.25,2402.0,2448.0,0.0
2020-01-01T07:00:00+00:00,1577862000000.0,2443.0,2490.75,2394.25,2478.5,0.0
2020-01-01T08:00:00+00:00,1577865600000.0,2478.5,2480.25,2418.25,2434.75,0.0
2020-01-01T09:00:00+00:00,1577869200000.0,2434.75,2459.75,2411.25,2415.25,0.0
2020-01-01T10:00:00+00:00,1577872800000.0,2415.25,2430.5,2359.5,2376.75,0.0
2020-01-01T11:00:00+00:00,1577876400000.0,2376.75,2446.5,2376.25,2439.5,0.0
2020-01-01T12:00:00+00:00,1577880000000.0,2439.5,2460.0,2434.0,2456.5,0.0
2020-01-01T13:00:00+00:00,1577883600000.0,2456.5,2456.5,2430.25,2439.25,0.0
2020-01-01T14:00:00+00:00,1577887200000.0,2439.25,2454.75,2394.25,2421.25,0.0
2020-01-01T15:00:00+00:00,1577890800000.0,2420.0,2444.75,2408.5,2444.25,0.0
2020-01-01T16:00:00+00:00,1577894400000.0,2444.25,2465.25,2432.25,2441.0,0.0
2020-01-01T17:00:00+00:00,1577898000000.0,2441.0,2447.75,2427.5,2443.5,0.0
2020-01-01T18:00:00+00:00,1577901600000.0,2443.5,2455.0,2428.0,2428.0,0.0
2020-01-01T19:00:00+00:00,1577905200000.0,2428.0,2448.0,2410.0,2448.0,0.0
2020-01-01T20:00:00+00:00,1577908800000.0,2448.0,2453.75,2390.5,2426.25,0.0
2020-01-01T21:00:00+00:00,1577912400000.0,2426.25,2443.0,2404.0,2428.5,0.0
2020-01-01T22:00:00+00:00,1577916000000.0,2428.5,2451.75,2419.5,2438.75,0.0
2020-01-01T23:00:00+00:00,1577919600000.0,2438.75,2466.75,2438.75,2461.75,0.0
2020-01-02T00:00:00+00:00,1577923200000.0,2461.75,2499.75,2457.5,2488.0,0.0
2020-01-02T01:00:00+00:00,1577926800000.0,2488.0,2504.5,2481.5,2481.5,0.0
2020-01-02T02:00:00+00:00,1577930400000.0,2484.25,2529.25,2458.0,2526.25,0.0
2020-01-02T03:00:00+00:00,1577934000000.0,2524.75,2526.75,2491.75,2526.25,0.0
2020-01-02T04:00:00+00:00,1577937600000.0,2526.25,2532.0,2472.25,2513.5,0.0
2020-01-02T05:00:00+00:00,1577941200000.0,2513.5,2524.75,2489.75,2521.5,0.0
2020-01-02T06:00:00+00:00,1577944800000.0,2521.5,2549.25,2512.25,2546.0,0.0
2020-01-02T07:00:00+00:00,1577948400000.0,2546.0,2568.75,2515.0,2567.25,0.0
2020-01-02T08:00:00+00:00,1577952000000.0,2567.25,2570.0,2547.0,2551.5,0.0
2020-01-02T09:00:00+00:00,1577955600000.0,2553.25,2564.75,2535.0,2542.75,0.0
2020-01-02T10:00:00+00:00,1577959200000.0,2542.75,2542.75,2512.75,2517.25,0.0
2020-01-02T11:00:00+00:00,1577962800000.0,2517.25,2520.5,2460.75,2474.5,0.0
2020-01-02T12:00:00+00:00,1577966400000.0,2474.5,2487.0,2371.0,2403.0,0.0
2020-01-02T13:00:00+00:00,1577970000000.0,2403.0,2457.75,2384.0,2437.5,0.0
2020-01-02T14:00:00+00:00,1577973600000.0,2434.75,2471.5,2421.0,2425.5,0.0
2020-01-02T15:00:00+00:00,1577977200000.0,2425.5,2461.25,2424.25,2425.75,0.0
2020-01-02T16:00:00+00:00,1577980800000.0,2425.75,2554.0,2415.0,2543.5,0.0
2020-01-02T17:00:00+00:00,1577984400000.0,2541.5,2614.75,2512.25,2554.0,0.0
2020-01-02T18:00:00+00:00,1577988000000.0,2554.0,2577.75,2535.25,2556.5,0.0
2020-01-02T19:00:00+00:00,1577991600000.0,2556.5,2557.0,2515.75,2537.5,0.0
