Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,14.2,14.2,13.95,14.05,14.05,406015
2021-01-05,14.0,14.0,13.8,13.9,13.9,202797
2021-01-06,14.0,14.0,13.4,13.45,13.45,308300
2021-01-07,13.45,13.5,13.05,13.2,13.2,309678
2021-01-08,13.15,13.15,12.75,12.8,12.8,554249
2021-01-11,12.8,13.15,12.65,13.05,13.05,218979
2021-01-12,13.2,13.7,13.2,13.5,13.5,521167
2021-01-13,13.65,13.65,13.25,13.25,13.25,250501
2021-01-14,13.25,13.25,12.8,12.8,12.8,440304
2021-01-15,12.85,12.85,12.45,12.45,12.45,296828
2021-01-18,13.2,13.65,13.2,13.65,13.65,452816
2021-01-19,15.0,15.0,15.0,15.0,15.0,622600
2021-01-20,14.7,15.35,14.0,14.0,14.0,1878757
2021-01-21,14.05,14.1,13.4,13.55,13.55,419465
2021-01-22,13.55,14.05,13.4,13.7,13.7,308893
2021-01-25,13.7,13.75,13.4,13.6,13.6,186179
2021-01-26,13.6,13.6,13.2,13.2,13.2,150104
2021-01-27,13.3,13.5,13.15,13.3,13.3,103970
2021-01-28,13.35,13.35,13.05,13.05,13.05,150146
2021-01-29,13.25,13.25,12.85,12.9,12.9,258851
2021-02-01,12.9,12.9,12.6,12.8,12.8,158658
2021-02-02,13.0,13.6,13.0,13.15,13.15,327181
2021-02-03,13.15,13.5,13.05,13.3,13.3,76142
2021-02-04,13.3,13.35,13.2,13.25,13.25,88825
2021-02-05,13.25,13.45,13.25,13.25,13.25,197624
2021-02-17,13.4,13.55,13.25,13.4,13.4,226788
2021-02-18,13.45,13.8,13.45,13.75,13.75,357917
2021-02-19,13.8,14.0,13.75,13.95,13.95,195501
2021-02-22,14.0,14.7,13.95,14.7,14.7,622413
2021-02-23,14.7,14.9,14.2,14.75,14.75,632349
2021-02-24,14.9,14.95,14.75,14.9,14.9,377005
2021-02-25,15.0,15.0,14.8,14.8,14.8,190946
2021-02-26,14.8,14.8,14.5,14.55,14.55,272140
2021-03-02,14.75,15.0,14.7,15.0,15.0,376904
2021-03-03,15.1,15.5,15.0,15.05,15.05,455956
2021-03-04,15.05,15.1,14.8,14.85,14.85,224751
2021-03-05,14.9,15.0,14.85,14.85,14.85,126991
2021-03-08,15.2,15.2,14.75,14.75,14.75,133929
2021-03-09,14.8,14.85,14.7,14.75,14.75,101247
2021-03-10,14.75,14.75,14.4,14.4,14.4,198963
2021-03-11,14.55,14.55,14.25,14.45,14.45,179247
2021-03-12,14.5,14.9,14.5,14.8,14.8,370195
2021-03-15,15.0,16.25,15.0,16.25,16.25,1996540
2021-03-16,16.299999,16.85,15.85,16.35,16.35,1640137
2021-03-17,16.200001,16.25,15.7,15.8,15.8,432770
2021-03-18,15.8,16.200001,15.75,15.9,15.9,602232
2021-03-19,15.9,15.9,15.5,15.65,15.65,265883
2021-03-22,15.7,15.7,15.2,15.3,15.3,525903
2021-03-23,15.4,15.6,15.15,15.3,15.3,244303
2021-03-24,15.35,15.35,15.1,15.2,15.2,155961
2021-03-25,15.15,15.15,14.85,14.9,14.9,297293
2021-03-26,14.9,15.0,14.8,14.85,14.85,212524
2021-03-29,14.85,15.05,14.8,15.0,15.0,160080
2021-03-30,15.05,15.35,15.05,15.25,15.25,269700
2021-03-31,15.3,15.45,15.2,15.3,15.3,283565
2021-04-01,15.4,15.4,15.2,15.3,15.3,184125
2021-04-07,15.15,15.15,15.0,15.15,15.15,182718
2021-04-08,15.15,15.25,15.0,15.15,15.15,266120
2021-04-09,15.15,15.35,15.1,15.25,15.25,243156
2021-04-12,15.25,15.3,15.0,15.15,15.15,353557
2021-04-13,16.15,16.65,15.7,16.65,16.65,4660335
2021-04-14,17.4,17.450001,16.200001,17.25,17.25,5502760
2021-04-15,17.25,17.299999,16.700001,16.9,16.9,1079261
2021-04-16,16.950001,17.0,16.799999,16.799999,16.799999,808840
2021-04-19,16.9,16.950001,16.549999,16.6,16.6,815963
2021-04-20,16.65,16.65,16.299999,16.4,16.4,784045
2021-04-21,16.4,16.799999,16.35,16.75,16.75,683290
2021-04-22,16.950001,17.0,16.75,16.9,16.9,785781
2021-04-23,17.0,17.0,16.65,16.799999,16.799999,403277
2021-04-26,16.9,16.950001,16.799999,16.9,16.9,479216
2021-04-27,16.950001,17.1,16.9,17.049999,17.049999,649982
2021-04-28,17.049999,17.049999,16.35,16.5,16.5,434189
2021-04-29,16.5,16.5,16.25,16.35,16.35,225243
2021-05-03,16.200001,16.200001,15.55,15.7,15.7,362816
2021-05-04,15.65,15.65,14.5,15.0,15.0,469187
2021-05-05,15.1,15.4,15.0,15.2,15.2,146318
2021-05-06,15.2,15.45,15.2,15.3,15.3,157366
2021-05-07,15.3,15.7,15.2,15.55,15.55,123099
2021-05-10,15.6,15.6,15.4,15.6,15.6,88300
2021-05-11,15.65,15.65,15.0,15.0,15.0,266187
2021-05-12,14.6,14.6,13.5,13.55,13.55,490435
2021-05-13,13.55,13.55,12.4,12.7,12.7,344837
2021-05-14,12.8,13.45,12.8,13.1,13.1,164286
2021-05-17,11.9,12.45,11.8,11.8,11.8,415111
2021-05-18,11.8,12.95,11.8,12.95,12.95,258011
2021-05-19,13.0,13.2,12.75,12.95,12.95,138702
2021-05-20,12.95,13.15,12.95,13.0,13.0,117016
2021-05-21,13.55,14.3,13.55,14.3,14.3,421803
2021-05-24,13.95,14.2,13.9,13.95,13.95,423492
2021-05-25,14.0,14.2,13.85,13.85,13.85,211328
2021-05-26,13.9,14.0,13.65,13.85,13.85,86458
2021-05-27,13.85,13.85,13.75,13.85,13.85,114898
2021-05-28,13.85,14.05,13.85,13.9,13.9,100857
2021-05-31,14.0,14.15,13.85,14.1,14.1,117359
2021-06-01,14.0,14.1,13.9,14.1,14.1,71314
2021-06-02,14.1,14.1,13.8,13.85,13.85,240225
2021-06-03,13.85,14.0,13.85,13.95,13.95,126501
2021-06-04,14.0,14.05,13.8,13.85,13.85,189213
2021-06-07,14.0,14.05,13.55,13.85,13.85,222926
2021-06-08,13.7,13.85,13.65,13.75,13.75,79529
2021-06-09,13.8,13.9,13.7,13.75,13.75,93799
2021-06-10,13.75,13.75,13.6,13.7,13.7,120111
2021-06-11,13.65,13.8,13.65,13.7,13.7,56743
2021-06-15,13.8,13.8,13.7,13.75,13.75,110765
2021-06-16,13.8,13.8,13.6,13.6,13.6,103349
2021-06-17,13.6,13.65,13.55,13.65,13.65,33079
2021-06-18,13.65,13.8,13.55,13.7,13.7,65416
2021-06-21,13.65,13.7,13.5,13.55,13.55,127893
2021-06-22,13.7,13.8,13.7,13.7,13.7,218370
2021-06-23,13.7,13.8,13.55,13.65,13.65,110029
2021-06-24,13.7,13.8,13.65,13.75,13.75,142265
2021-06-25,13.75,13.8,13.65,13.7,13.7,119920
2021-06-28,13.7,13.8,13.55,13.55,13.55,132488
2021-06-29,13.55,13.8,13.5,13.8,13.8,164933
2021-06-30,13.95,14.2,13.9,14.0,14.0,267359
2021-07-01,14.05,14.2,14.0,14.05,14.05,224421
2021-07-02,14.25,14.25,14.0,14.0,14.0,137054
2021-07-05,14.1,15.0,14.1,14.6,14.6,365514
2021-07-06,14.6,14.7,14.45,14.45,14.45,195843
2021-07-07,14.6,15.65,14.5,15.15,15.15,1044468
2021-07-08,15.5,15.75,14.75,14.75,14.75,1248691
2021-07-09,15.1,15.1,14.35,14.45,14.45,361925
2021-07-12,14.45,14.45,14.15,14.2,14.2,204728
2021-07-13,14.3,14.3,13.75,13.75,13.75,501039
2021-07-14,13.75,13.75,13.6,13.7,13.7,184220
2021-07-15,13.7,14.1,13.7,14.1,14.1,143148
2021-07-16,14.05,14.15,13.95,14.1,14.1,74366
2021-07-19,14.1,14.5,14.1,14.4,14.4,153096
2021-07-20,14.45,14.45,14.1,14.1,14.1,132002
2021-07-21,14.2,14.35,13.8,14.0,14.0,134072
2021-07-22,14.0,14.2,13.9,14.0,14.0,104239
2021-07-23,14.35,14.35,14.0,14.3,14.3,185377
