Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,35.099998,35.299999,34.900002,35.0,31.726311,148000
2021-01-05,35.0,35.299999,34.950001,35.0,31.726311,88050
2021-01-06,35.099998,35.099998,34.349998,34.349998,31.137106,83108
2021-01-07,34.349998,34.599998,34.25,34.400002,31.182432,53111
2021-01-08,34.400002,34.5,34.200001,34.299999,31.091784,55000
2021-01-11,34.25,34.299999,33.950001,34.0,30.819843,85277
2021-01-12,33.950001,33.950001,33.799999,33.799999,30.63855,81800
2021-01-13,33.799999,34.099998,33.799999,34.0,30.819843,66002
2021-01-14,33.799999,34.099998,33.799999,33.900002,30.729198,56002
2021-01-15,33.900002,33.900002,33.5,33.549999,30.411932,61002
2021-01-18,33.549999,34.0,33.549999,33.849998,30.683872,17233
2021-01-19,33.799999,34.0,33.799999,33.799999,30.63855,28400
2021-01-20,33.599998,33.599998,33.150002,33.299999,30.185316,108021
2021-01-21,33.25,33.450001,33.25,33.299999,30.185316,24069
2021-01-22,33.25,33.299999,33.049999,33.299999,30.185316,40000
2021-01-25,33.049999,33.349998,33.049999,33.349998,30.230639,24005
2021-01-26,33.049999,33.25,33.049999,33.099998,30.004023,31002
2021-01-27,33.099998,33.200001,33.099998,33.099998,30.004023,27399
2021-01-28,33.0,33.049999,32.950001,32.950001,29.868055,40000
2021-01-29,32.900002,33.150002,32.849998,32.849998,29.777407,49012
2021-02-01,32.849998,33.5,32.799999,32.849998,29.777407,81000
2021-02-02,32.799999,33.099998,32.799999,32.950001,29.868055,25094
2021-02-03,32.849998,33.0,32.650002,32.900002,29.822733,23000
2021-02-04,32.75,33.099998,32.700001,33.099998,30.004023,15004
2021-02-05,32.900002,33.099998,32.799999,32.799999,29.732084,54000
2021-02-17,32.900002,33.549999,32.900002,33.549999,30.411932,56200
2021-02-18,33.549999,34.299999,33.5,34.0,30.819843,49001
2021-02-19,34.0,34.0,33.799999,33.900002,30.729198,14500
2021-02-22,34.150002,34.900002,33.900002,34.700001,31.454369,132087
2021-02-23,34.5,34.900002,34.450001,34.799999,31.545013,109100
2021-02-24,35.0,37.0,35.0,36.5,33.08601,973118
2021-02-25,37.200001,37.950001,36.0,36.400002,32.995365,615148
2021-02-26,36.700001,36.700001,35.599998,35.799999,32.451481,338153
2021-03-02,36.0,36.200001,34.700001,34.700001,31.454369,255226
2021-03-03,34.950001,36.049999,34.950001,35.349998,32.043571,123003
2021-03-04,35.349998,36.599998,35.349998,35.799999,32.451481,247070
2021-03-05,35.900002,35.900002,35.650002,35.700001,32.360836,101110
2021-03-08,36.799999,36.900002,35.849998,35.900002,32.54213,226000
2021-03-09,36.900002,39.450001,36.75,39.450001,35.760086,2142024
2021-03-10,39.450001,39.75,38.5,38.700001,35.080231,1329680
2021-03-11,38.900002,39.400002,37.549999,38.0,34.445705,583970
2021-03-12,38.25,39.349998,38.200001,38.349998,34.76297,645200
2021-03-15,38.450001,39.299999,38.349998,38.349998,34.76297,376260
2021-03-16,38.5,38.75,38.0,38.200001,34.627003,204002
2021-03-17,38.5,39.299999,38.5,39.299999,35.624111,621352
2021-03-18,39.799999,39.799999,38.799999,38.849998,35.216202,372138
2021-03-19,38.950001,40.900002,38.950001,39.400002,35.714764,741478
2021-03-22,39.200001,39.200001,38.299999,38.599998,34.989586,287296
2021-03-23,38.700001,38.700001,38.299999,38.450001,34.853619,217001
2021-03-24,38.299999,38.349998,38.0,38.099998,34.536354,183203
2021-03-25,39.0,40.400002,39.0,39.049999,35.397495,923101
2021-03-26,39.5,39.5,39.049999,39.200001,35.533466,242400
2021-03-29,39.5,40.450001,39.299999,40.299999,36.530579,541100
2021-03-30,40.849998,41.0,40.049999,40.25,36.485256,333151
2021-03-31,40.299999,40.450001,39.849998,40.0,36.258636,187000
2021-04-01,39.900002,39.900002,39.400002,39.549999,35.850731,180000
2021-04-07,39.549999,39.75,38.900002,38.950001,35.30685,280004
2021-04-08,38.799999,38.799999,37.849998,38.5,34.898941,423003
2021-04-09,38.650002,38.700001,38.0,38.25,34.672325,194003
2021-04-12,38.200001,38.5,38.0,38.150002,34.58168,358049
2021-04-13,38.400002,38.599998,38.0,38.400002,34.808296,212500
2021-04-14,38.799999,38.799999,37.25,38.150002,34.58168,259000
2021-04-15,38.150002,38.900002,38.049999,38.599998,34.989586,185000
2021-04-16,38.599998,39.5,38.599998,39.299999,35.624111,300249
2021-04-19,39.849998,39.849998,38.799999,39.349998,35.669434,412510
2021-04-20,39.349998,39.5,39.049999,39.099998,35.442818,150079
2021-04-21,39.099998,40.049999,39.099998,39.950001,36.213314,537300
2021-04-22,40.0,41.25,39.099998,39.299999,35.624111,620203
2021-04-23,39.400002,40.700001,39.200001,40.450001,36.66655,556544
2021-04-26,40.799999,42.0,40.599998,41.150002,37.301075,508064
2021-04-27,41.299999,41.299999,40.25,40.700001,36.893169,328472
2021-04-28,40.5,40.700001,39.599998,40.099998,36.349285,318001
2021-04-29,44.0,44.099998,41.0,42.400002,38.434158,938211
2021-05-03,42.900002,43.200001,41.200001,41.650002,37.754311,480058
2021-05-04,41.75,41.849998,39.799999,40.450001,36.66655,527176
2021-05-05,40.150002,41.400002,39.75,40.599998,36.802517,199800
2021-05-06,40.950001,41.400002,40.5,40.650002,36.847847,98008
2021-05-07,40.650002,40.75,40.25,40.5,36.711872,78005
2021-05-10,40.5,41.799999,40.5,41.5,37.61834,198002
2021-05-11,40.75,41.5,39.299999,39.650002,35.94138,192200
2021-05-12,39.349998,39.349998,36.549999,37.5,33.992477,314108
2021-05-13,37.0,38.349998,36.099998,37.200001,33.720535,194202
