Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,33.799999,35.25,32.799999,32.799999,32.010853,3880953
2021-01-05,32.950001,33.349998,31.35,31.85,31.08371,2426774
2021-01-06,32.25,32.599998,29.799999,30.5,29.76619,2425073
2021-01-07,31.200001,31.4,30.35,30.65,29.91258,997097
2021-01-08,30.9,31.950001,29.85,31.4,30.644535,1485408
2021-01-11,31.4,31.4,30.0,30.049999,29.327015,1411011
2021-01-12,30.0,30.5,28.799999,28.799999,28.10709,1595401
2021-01-13,29.1,30.15,29.0,29.25,28.546265,758132
2021-01-14,29.5,29.700001,28.9,29.5,28.790249,461402
2021-01-15,29.950001,30.0,28.0,28.4,27.716715,1374988
2021-01-18,28.200001,29.1,27.049999,28.799999,28.10709,677701
2021-01-19,29.299999,29.5,29.0,29.0,28.302279,519985
2021-01-20,29.450001,29.799999,27.6,27.6,26.935963,1325573
2021-01-21,28.0,28.25,26.799999,27.0,26.350397,926475
2021-01-22,27.200001,27.85,26.85,27.25,26.594383,630150
2021-01-25,27.4,27.85,26.4,27.65,26.984758,490983
2021-01-26,27.65,27.799999,26.6,26.799999,26.155209,527701
2021-01-27,27.0,27.35,27.0,27.1,26.447992,337854
2021-01-28,27.15,27.450001,26.799999,27.200001,26.545586,380344
2021-01-29,27.35,27.35,26.4,26.549999,25.911222,653450
2021-02-01,26.450001,26.549999,25.5,26.0,25.374456,486035
2021-02-02,26.15,27.25,26.15,26.85,26.204006,405543
2021-02-03,27.200001,28.0,26.85,27.35,26.691977,716864
2021-02-04,27.450001,27.450001,26.6,26.75,26.106413,349993
2021-02-05,26.799999,27.0,26.5,26.75,26.106413,301372
2021-02-17,27.200001,27.4,26.700001,27.049999,26.399193,406641
2021-02-18,26.799999,28.1,26.75,27.950001,27.277542,561118
2021-02-19,28.0,28.75,27.85,28.450001,27.765512,481874
2021-02-22,28.6,28.85,28.5,28.549999,27.863104,389121
2021-02-23,28.4,28.5,27.9,28.200001,27.521526,417681
2021-02-24,28.15,28.6,28.1,28.5,27.814308,377576
2021-02-25,29.15,29.700001,28.4,28.450001,27.765512,786168
2021-02-26,28.4,28.4,27.5,27.799999,27.131149,300735
2021-03-02,28.049999,28.200001,27.5,27.5,26.838367,235150
2021-03-03,27.5,28.25,27.200001,28.049999,27.375134,384830
2021-03-04,28.0,28.0,27.5,27.75,27.082354,216298
2021-03-05,27.200001,27.799999,27.200001,27.25,26.594383,238939
2021-03-08,27.6,27.9,27.25,27.25,26.594383,221083
2021-03-09,27.25,27.299999,26.700001,26.9,26.252804,241149
2021-03-10,27.1,27.35,27.049999,27.1,26.447992,167473
2021-03-11,27.200001,27.9,27.200001,27.6,26.935963,361490
