iter	RMSE
0	4.894251684
1	4.888287036
2	4.881611274
3	4.875992819
4	4.872358473
5	4.867872
6	4.862279959
7	4.858260675
8	4.855698545
9	4.851722015
10	4.847391387
11	4.842452546
12	4.838844537
13	4.832806298
14	4.829353644
15	4.825548085
16	4.822800771
17	4.81982643
18	4.817368526
19	4.815041751
20	4.812832496
21	4.809595874
22	4.806982344
23	4.804584793
24	4.800262506
25	4.796392588
26	4.79344017
27	4.790567605
28	4.788161066
29	4.785719035
30	4.783313216
31	4.782539152
32	4.778631546
33	4.77522678
34	4.772041729
35	4.769799922
36	4.766911186
37	4.763774733
38	4.76102384
39	4.759853764
40	4.757249653
41	4.754643275
42	4.7523577
43	4.75009894
44	4.748598834
45	4.745347911
46	4.741320459
47	4.73961866
48	4.73777098
49	4.736271003
50	4.733111903
51	4.731877502
52	4.72973281
53	4.726004878
54	4.724711449
55	4.721942675
56	4.720877357
57	4.718765572
58	4.717497733
59	4.715859978
60	4.71292976
61	4.711493799
62	4.709290311
63	4.707343703
64	4.705934163
65	4.704179059
66	4.701361559
67	4.699030247
68	4.697063042
69	4.693434412
70	4.691107488
71	4.688963117
72	4.68731045
73	4.684785991
74	4.682101561
75	4.680595903
76	4.678488383
77	4.67519259
78	4.673858696
79	4.672020891
80	4.670238418
81	4.66838514
82	4.66598264
83	4.663364701
84	4.661650467
85	4.659309566
86	4.658442983
87	4.656654533
88	4.655328403
89	4.654281421
90	4.652832882
91	4.650653175
92	4.648874662
93	4.647618613
94	4.645256376
95	4.642372988
96	4.641251787
97	4.637741281
98	4.635658651
99	4.633402692
100	4.63050352
101	4.629842515
102	4.626085266
103	4.624086881
104	4.623266305
105	4.621095182
106	4.62040767
107	4.617265466
108	4.614675421
109	4.61327968
110	4.61215007
111	4.611044894
112	4.606497784
113	4.604914652
114	4.602029379
115	4.600785474
116	4.598935317
117	4.596641546
118	4.595430005
119	4.594239202
120	4.592282284
121	4.590293262
122	4.588932656
123	4.587700926
124	4.585835685
125	4.584289017
126	4.582321848
127	4.581260808
128	4.579813379
129	4.576709315
130	4.574321982
131	4.572148653
132	4.569340027
133	4.568378395
134	4.565954533
135	4.565070813
136	4.563510418
137	4.56269527
138	4.560465868
139	4.559094483
140	4.557416231
141	4.55629933
142	4.555389555
143	4.554357684
144	4.55282715
145	4.551032289
146	4.549113052
147	4.547144649
148	4.544711613
149	4.542674963
150	4.540509453
151	4.538957317
152	4.537058455
153	4.534948894
154	4.533623927
155	4.531854983
156	4.528640193
157	4.527254512
158	4.525411268
159	4.523879169
160	4.521759365
161	4.520285948
162	4.517889197
163	4.517020559
164	4.515237935
165	4.51385672
166	4.512722636
167	4.511801487
168	4.509298485
169	4.506868621
170	4.505364218
171	4.502523299
172	4.500220751
173	4.49870066
174	4.497276218
175	4.493659148
176	4.491123242
177	4.489193475
178	4.487811203
179	4.486095707
180	4.483413334
181	4.482379784
182	4.479920108
183	4.477966561
184	4.4759415
185	4.473970609
186	4.472509502
187	4.470761006
188	4.468367527
189	4.46606744
190	4.463669744
191	4.461681728
192	4.460240729
193	4.458116343
194	4.454708549
195	4.453966383
196	4.452781002
197	4.450941217
198	4.448755936
199	4.446439075
200	4.445132125
201	4.44369286
202	4.441535221
203	4.43897875
204	4.436441124
205	4.432907655
206	4.430402105
207	4.427693697
208	4.425366695
209	4.423087135
210	4.422041568
211	4.419771659
212	4.417530212
213	4.41658074
214	4.41422286
215	4.412769497
216	4.410993728
217	4.409721523
218	4.407223194
219	4.405024305
220	4.403354647
221	4.401273362
222	4.399720248
223	4.397799248
224	4.396736443
225	4.395313616
226	4.394272191
227	4.393242014
228	4.392757066
229	4.390936075
230	4.390191023
231	4.388268067
232	4.386640575
233	4.384814593
234	4.384049994
235	4.382512474
236	4.381274619
237	4.380496626
238	4.378776564
239	4.377307065
240	4.375055391
241	4.374160473
242	4.372541973
243	4.371213617
244	4.369446919
245	4.368863509
246	4.367818689
247	4.36647278
248	4.364888606
249	4.361513803
250	4.360328974
251	4.357856876
252	4.357032264
253	4.355043288
254	4.350978102
255	4.348500036
256	4.346445536
257	4.345998978
258	4.342558228
259	4.341511609
260	4.341071482
261	4.339645636
262	4.338552057
263	4.336412001
264	4.336191277
265	4.333847936
266	4.331461669
267	4.329232321
268	4.328025045
269	4.32458952
270	4.323543467
271	4.323097972
272	4.32215721
273	4.320702507
274	4.320115145
275	4.317525312
276	4.315802649
277	4.314411787
278	4.311369838
279	4.308319995
280	4.307026262
281	4.305232578
282	4.300903391
283	4.297523173
284	4.294557136
285	4.290350005
286	4.289146047
287	4.288670444
288	4.288390336
289	4.283401642
290	4.282307695
291	4.280917414
292	4.279591905
293	4.277172761
294	4.274186147
295	4.273409304
296	4.271784664
297	4.27101006
298	4.265974171
299	4.265034826
300	4.264649721
301	4.261344794
302	4.261016725
303	4.260647941
304	4.260394563
305	4.258578591
306	4.256462709
307	4.255636642
308	4.25451343
309	4.252676142
310	4.251757597
311	4.24812814
312	4.246953867
313	4.246193853
314	4.244517708
315	4.241225464
316	4.237619046
317	4.235643831
318	4.233770571
319	4.231723058
320	4.23095184
321	4.229677101
322	4.227570865
323	4.225219301
324	4.220811578
325	4.218336341
326	4.216034945
327	4.21447865
328	4.213402799
329	4.211328579
330	4.209509345
331	4.208174125
332	4.20757034
333	4.205728967
334	4.205331118
335	4.20358415
336	4.201829222
337	4.198143503
338	4.196067122
339	4.194259579
340	4.193632567
341	4.193313513
342	4.192347685
343	4.191074737
344	4.189624491
345	4.188998049
346	4.187853665
347	4.184242733
348	4.183553772
349	4.182164995
350	4.181856982
351	4.180298396
352	4.178238576
353	4.177703499
354	4.174911119
355	4.172686396
356	4.169198713
357	4.167541175
358	4.163137219
359	4.15969518
360	4.158934185
361	4.156670402
362	4.155496141
363	4.154136491
364	4.153042906
365	4.151473374
366	4.150229368
367	4.146637148
368	4.1459682
369	4.145359273
370	4.142091117
371	4.141138124
372	4.138596848
373	4.13564422
374	4.134531935
375	4.131639846
376	4.130535773
377	4.130290483
378	4.127523971
379	4.12733779
380	4.125921678
381	4.12524957
382	4.123098556
383	4.121922586
384	4.12122415
385	4.117646127
386	4.115082629
387	4.111098376
388	4.1101932
389	4.109448781
390	4.109198172
391	4.106732438
392	4.102757901
393	4.101118165
394	4.099922274
395	4.096477479
396	4.09448118
397	4.091024037
398	4.088525925
399	4.087583391
400	4.083166584
401	4.081164258
402	4.079825292
403	4.078812901
404	4.07409491
405	4.072890773
406	4.069720854
407	4.069416192
408	4.069192189
409	4.066569453
410	4.064123777
411	4.062276302
412	4.061543061
413	4.058069041
414	4.05565203
415	4.055544764
